,WeekID,Week Position,Song,Performer,Previous Week Position,Peak Position,Weeks on Chart,Date,Song ID,Link,Artist
165271,4/14/62,10,Hey! Baby,Bruce Channel,6,1,12,,Hey! Baby Bruce Channel,spotify:track:0obIo2GEab6qqms6t3JaMY,Bruce Channel
165272,5/9/87,10,I Knew You Were Waiting (For Me),Aretha Franklin & George Michael,7,1,12,,I Knew You Were Waiting (For Me) Aretha Franklin & George Michael,spotify:track:2XgDgIsVUOt9Lov5G4Wruy,"George Michael,Aretha Franklin"
165273,1/5/91,10,I'm Your Baby Tonight,Whitney Houston,7,1,12,,I'm Your Baby Tonight Whitney Houston,spotify:track:3SmPl0CGxvvkQCrTv7edEE,Whitney Houston
165274,8/8/64,10,I Get Around,The Beach Boys,8,1,12,,I Get Around The Beach Boys,spotify:track:3v9xlH6BpmRbqL7hgNJhfT,The Beach Boys
165275,10/18/97,10,Mo Money Mo Problems,The Notorious B.I.G. Featuring Puff Daddy & Mase,8,1,12,,Mo Money Mo Problems The Notorious B.I.G. Featuring Puff Daddy & Mase,spotify:track:5JaxKJIpDdT8WrWZ5hHXcs,Backtrack Professional Karaoke Band
165276,7/26/69,10,Love Theme From Romeo & Juliet,Henry Mancini And His Orchestra,10,1,12,,Love Theme From Romeo & Juliet Henry Mancini And His Orchestra,spotify:track:0oFkaYVT0tVb9v5sOaMvJv,Henry Mancini
165344,9/7/63,11,Fingertips - Pt 2,Little Stevie Wonder,3,1,12,,Fingertips - Pt 2 Little Stevie Wonder,spotify:track:6SvMoVRctg7Z3jDtlYIYlL,Stevie Wonder
165345,6/28/86,11,Live To Tell,Madonna,4,1,12,,Live To Tell Madonna,spotify:track:095MMFhB9qxPx2VsmvjnUs,Madonna
165346,4/23/88,11,Man In The Mirror,Michael Jackson,4,1,12,,Man In The Mirror Michael Jackson,spotify:track:1kiNatIrwDusOZfR29W0LJ,Michael Jackson
165347,9/7/74,11,Feel Like Makin' Love,Roberta Flack,5,1,12,,Feel Like Makin' Love Roberta Flack,spotify:track:7gkboYtvhuXNS4EUwmFPcw,Roberta Flack
